horizon_h,fold,f1,roc_auc,n_train,n_test,n_pos_te,train_start,train_end,test_start,test_end
1,0,0.5287356321839081,0.9638671875,240,240,128,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
1,1,0.9979123173277662,0.9414225941422594,480,240,239,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
2,0,0.27450980392156865,0.8237307074516377,240,240,129,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
2,1,0.9808917197452229,0.6260504201680672,480,240,238,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
3,0,0.3076923076923077,0.9262937062937062,240,240,130,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
3,1,0.9655172413793104,0.6244725738396624,480,240,237,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
4,0,0.3184713375796178,0.8945304293017717,240,240,131,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
4,1,0.9261744966442953,0.6324152542372881,480,240,236,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
5,0,0.31645569620253167,0.7853535353535354,240,240,132,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
5,1,0.9140271493212669,0.6102127659574468,480,240,235,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
6,0,0.3170731707317073,0.7669875623638536,240,240,133,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
6,1,0.8863109048723898,0.5954415954415955,480,240,234,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
