Дата,"Время суток, ч",ts,"Потребление за период, м3 ХВС","Потребление за период, м3 ГВС",diff_m3,rel_diff,itp_xvs_zero_anomaly,odpu_gvs_zero_anomaly,itp_xvs_flat_anomaly,odpu_gvs_flat_anomaly,itp_xvs_spike,odpu_gvs_spike,reason_hint
2025-04-03,3,2025-04-03 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-03,4,2025-04-03 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-04,2,2025-04-04 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-05,3,2025-04-05 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-05,4,2025-04-05 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-06,2,2025-04-06 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-07,1,2025-04-07 00:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-07,3,2025-04-07 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-07,4,2025-04-07 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-07,15,2025-04-07 14:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-07,16,2025-04-07 15:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-08,2,2025-04-08 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-09,3,2025-04-09 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-09,4,2025-04-09 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-09,12,2025-04-09 11:00:00,0.15,0.12,-0.03,0.2,False,False,False,False,False,False,
2025-04-09,13,2025-04-09 12:00:00,0.15,0.12,-0.03,0.2,False,False,False,False,False,False,
2025-04-10,2,2025-04-10 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-12,3,2025-04-12 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-12,4,2025-04-12 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-14,1,2025-04-14 00:00:00,0.12,0.09,-0.03,0.25,False,False,False,False,False,False,
2025-04-14,2,2025-04-14 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-14,3,2025-04-14 02:00:00,0.06,0.04,-0.019999999999999997,0.3333333333333333,False,False,False,False,False,False,
2025-04-14,4,2025-04-14 03:00:00,0.06,0.04,-0.019999999999999997,0.3333333333333333,False,False,False,False,False,False,
2025-04-14,6,2025-04-14 05:00:00,0.22,0.18,-0.04000000000000001,0.18181818181818185,False,False,False,False,False,False,
2025-04-14,7,2025-04-14 06:00:00,0.14,0.11,-0.030000000000000013,0.21428571428571436,False,False,False,False,False,False,
