horizon_h,fold,f1,roc_auc,n_train,n_test,n_pos_te,train_start,train_end,test_start,test_end
1,0,0.7536231884057971,0.9853515625,240,240,128,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
1,1,0.9979123173277662,0.6485355648535565,480,240,239,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
2,0,0.4311377245508982,0.9690620853411551,240,240,129,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
2,1,0.9655172413793104,0.5630252100840336,480,240,238,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
3,0,0.4146341463414634,0.9544755244755245,240,240,130,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
3,1,0.9519650655021834,0.6160337552742616,480,240,237,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
4,0,0.36809815950920244,0.9020239512570909,240,240,131,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
4,1,0.918918918918919,0.6080508474576272,480,240,236,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
5,0,0.3333333333333333,0.6250701459034792,240,240,132,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
5,1,0.8758782201405152,0.6068085106382979,480,240,235,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
6,0,0.3151515151515151,0.7871548028950882,240,240,133,2025-04-01,2025-04-10 23:00:00,2025-04-11,2025-04-20 23:00:00
6,1,0.8544152744630071,0.5826210826210826,480,240,234,2025-04-01,2025-04-20 23:00:00,2025-04-21,2025-04-30 23:00:00
