ts,Дата,"Время суток, ч","Подача, м3","Обратка, м3","Потребление за период, м3 ГВС","Т1 гвс, оС","Т2 гвс, оС","Потребление накопленным итогом, м3","Потребление за период, м3 ХВС",Индекс_времени,Погода,День недели,hour_idx,rel_diff,diff_m3,flag_over10,itp_xvs_zero,itp_xvs_zero_run,itp_xvs_zero_anomaly,itp_xvs_flat,itp_xvs_flat_run,itp_xvs_flat_anomaly,itp_xvs_spike,odpu_gvs_zero,odpu_gvs_zero_run,odpu_gvs_zero_anomaly,odpu_gvs_flat,odpu_gvs_flat_run,odpu_gvs_flat_anomaly,odpu_gvs_spike,reason_hint
2025-04-01 00:00:00,2025-04-01,1,0.23,0.12,0.11,60,42,12345.6,0.11,1,8.4,1,1,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 01:00:00,2025-04-01,2,0.09,0.0499999999999999,0.04,60,42,12345.706,0.04,2,7.8,1,2,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 02:00:00,2025-04-01,3,0.11,0.06,0.05,60,42,12345.749,0.05,3,7.5,1,3,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 03:00:00,2025-04-01,4,0.11,0.06,0.05,60,42,12345.8,0.05,4,7.2,1,4,0.0,0.0,False,0,0,False,1,1,False,False,0,0,False,1,1,False,False,
2025-04-01 04:00:00,2025-04-01,5,0.14,0.08,0.06,60,42,12345.851,0.06,5,7.2,1,5,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 05:00:00,2025-04-01,6,0.44,0.24,0.2,60,42,12345.915,0.2,6,7.2,1,6,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 06:00:00,2025-04-01,7,0.28,0.15,0.13,60,42,12346.119,0.13,7,7.0,1,7,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 07:00:00,2025-04-01,8,0.28,0.15,0.13,60,42,12346.247,0.13,8,7.0,1,8,0.0,0.0,False,0,0,False,1,1,False,False,0,0,False,1,1,False,False,
2025-04-01 08:00:00,2025-04-01,9,0.46,0.25,0.21,60,42,12346.375,0.21,9,7.4,1,9,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
2025-04-01 09:00:00,2025-04-01,10,0.55,0.38,0.17,60,42,12346.588,0.17,10,7.6,1,10,0.0,0.0,False,0,0,False,0,0,False,False,0,0,False,0,0,False,False,
